注文日,注文番号,商品,単価,販売数量,売上金額
2016/1/1,A61426,ABC1089,8197,74,606578
2016/1/1,A56029,ABC1090,2742,89,244038
2016/1/1,A3421,ABC1091,193,59,11387
2016/1/1,A25472,ABC1092,2840,6,17040
2016/1/1,A63027,ABC1093,1196,9,10764
2016/1/1,A1663,ABC1094,486,62,30132
2016/1/1,A38367,ABC1095,3127,46,143842
2016/1/1,A11554,ABC1096,2631,97,255207
2016/1/1,A5458,ABC1097,3544,2,7088
2016/1/1,A58516,ABC1098,6576,44,289344
2016/1/1,A73340,ABC1099,5299,28,148372
2016/1/1,A16188,ABC1100,1420,18,25560
2016/1/2,A36012,ABC1001,422,43,18146
2016/1/2,A10683,ABC1002,2519,89,224191
2016/1/2,A27498,ABC1003,5140,60,308400
2016/1/2,A23010,ABC1004,6253,95,594035
2016/1/2,A98013,ABC1005,4324,93,402132
2016/1/2,A51344,ABC1006,3979,71,282509
2016/1/2,A53204,ABC1007,9409,11,103499
2016/1/2,A69576,ABC1008,101,87,8787
2016/1/2,A74570,ABC1009,6284,41,257644
2016/1/2,A34592,ABC1010,30,14,420
2016/1/2,A48161,ABC1011,5617,49,275233
2016/1/2,A57120,ABC1012,962,71,68302
2016/1/2,A45695,ABC1013,6065,34,206210
2016/1/2,A72303,ABC1014,5016,64,321024
2016/1/2,A97853,ABC1015,7608,40,304320
2016/1/2,A73801,ABC1016,9308,58,539864
2016/1/2,A47209,ABC1017,9215,46,423890
2016/1/2,A73367,ABC1018,8050,96,772800
2016/1/2,A90721,ABC1019,4452,95,422940
2016/1/2,A4950,ABC1020,5498,61,335378
2016/1/2,A17876,ABC1021,8114,90,730260
2016/1/2,A11421,ABC1022,3560,87,309720
2016/1/2,A53173,ABC1023,3942,63,248346
2016/1/2,A63229,ABC1024,5097,70,356790
2016/1/2,A46011,ABC1025,7447,42,312774
2016/1/2,A24425,ABC1026,7067,27,190809
2016/1/2,A20597,ABC1027,4259,88,374792
2016/1/2,A7358,ABC1028,503,97,48791
2016/1/2,A31256,ABC1029,9875,13,128375
2016/1/2,A191,ABC1030,9600,36,345600
2016/1/2,A45550,ABC1031,4605,46,211830
2016/1/2,A12543,ABC1032,4616,36,166176
2016/1/2,A2063,ABC1033,7086,70,496020
2016/1/2,A82698,ABC1034,650,41,26650
2016/1/2,A17146,ABC1035,84,83,6972
2016/1/2,A31433,ABC1036,5822,26,151372
2016/1/2,A62521,ABC1037,4356,94,409464
2016/1/2,A27014,ABC1038,7429,71,527459
2016/1/2,A21384,ABC1039,1882,31,58342
2016/1/2,A86906,ABC1040,1311,57,74727
2016/1/2,A77491,ABC1041,8311,46,382306
2016/1/2,A57969,ABC1042,9811,59,578849
2016/1/2,A73979,ABC1043,5319,66,351054
2016/1/2,A87133,ABC1044,5758,39,224562
2016/1/2,A13557,ABC1045,1181,40,47240
2016/1/2,A57208,ABC1046,1484,64,94976
2016/1/2,A9580,ABC1047,5018,3,15054
2016/1/2,A59436,ABC1048,9870,80,789600
2016/1/2,A6162,ABC1049,4869,46,223974
2016/1/2,A4236,ABC1050,3467,29,100543
2016/1/2,A77726,ABC1051,1711,77,131747
2016/1/2,A99091,ABC1052,2010,62,124620
2016/1/2,A36522,ABC1053,1844,17,31348
2016/1/2,A44871,ABC1054,3284,6,19704
2016/1/2,A17459,ABC1055,8432,62,522784
2016/1/2,A20141,ABC1056,6360,28,178080
2016/1/2,A95965,ABC1057,2157,96,207072
2016/1/2,A79448,ABC1058,9178,82,752596
2016/1/2,A99137,ABC1059,5252,37,194324
2016/1/2,A14714,ABC1060,1982,75,148650
2016/1/2,A75044,ABC1061,7168,61,437248
2016/1/2,A1234,ABC1062,9682,93,900426
2016/1/2,A45559,ABC1063,7855,36,282780
2016/1/2,A59518,ABC1064,5756,43,247508
2016/1/2,A95522,ABC1065,2994,54,161676
2016/1/2,A86406,ABC1066,8859,32,283488
2016/1/2,A38361,ABC1067,2526,72,181872
2016/1/2,A16673,ABC1068,3805,63,239715
2016/1/2,A58142,ABC1069,6895,44,303380
2016/1/2,A30471,ABC1070,8520,71,604920
2016/1/2,A17803,ABC1071,3113,25,77825
2016/1/2,A63597,ABC1072,8508,81,689148
2016/1/2,A98191,ABC1073,9599,66,633534
2016/1/2,A76472,ABC1074,1955,16,31280
2016/1/2,A98894,ABC1075,5848,91,532168
2016/1/2,A11914,ABC1076,6178,60,370680
2016/1/2,A50663,ABC1077,8816,26,229216
2016/1/2,A29281,ABC1078,3379,10,33790
2016/1/2,A22534,ABC1079,1839,4,7356
2016/1/2,A77122,ABC1080,8427,56,471912
2016/1/2,A23719,ABC1081,740,55,40700
2016/1/2,A1339,ABC1082,5131,73,374563
2016/1/2,A7274,ABC1083,5773,89,513797
2016/1/2,A75802,ABC1084,7780,70,544600
2016/1/2,A54524,ABC1085,5592,91,508872
2016/1/2,A51488,ABC1086,1514,78,118092
2016/1/2,A58352,ABC1087,9605,69,662745
2016/1/2,A72225,ABC1088,3398,70,237860
2016/1/2,A69192,ABC1089,8197,39,319683
2016/1/2,A27174,ABC1090,2742,34,93228
2016/1/2,A89793,ABC1091,193,20,3860
2016/1/2,A63441,ABC1092,2840,74,210160
2016/1/2,A73229,ABC1093,1196,83,99268
2016/1/2,A17290,ABC1094,486,89,43254
2016/1/2,A38960,ABC1095,3127,100,312700
2016/1/2,A9738,ABC1096,2631,57,149967
2016/1/2,A68258,ABC1097,3544,86,304784
2016/1/2,A92657,ABC1098,6576,53,348528
2016/1/2,A46932,ABC1099,5299,31,164269
2016/1/2,A90991,ABC1100,1420,46,65320
2016/1/3,A58410,ABC1001,422,83,35026
2016/1/3,A55056,ABC1002,2519,59,148621
2016/1/3,A6269,ABC1003,5140,54,277560
2016/1/3,A38358,ABC1004,6253,56,350168
2016/1/3,A86572,ABC1005,4324,28,121072
2016/1/3,A41726,ABC1006,3979,78,310362
2016/1/3,A22244,ABC1007,9409,0,0
2016/1/3,A41979,ABC1008,101,1,101
2016/1/3,A74586,ABC1009,6284,91,571844
2016/1/3,A74809,ABC1010,30,27,810
2016/1/3,A76342,ABC1011,5617,94,527998
2016/1/3,A25604,ABC1012,962,88,84656
2016/1/3,A66542,ABC1013,6065,44,266860
2016/1/3,A93702,ABC1014,5016,6,30096
2016/1/3,A79043,ABC1015,7608,61,464088
2016/1/3,A36796,ABC1016,9308,87,809796
2016/1/3,A35883,ABC1017,9215,74,681910
2016/1/3,A96638,ABC1018,8050,70,563500
2016/1/3,A44218,ABC1019,4452,59,262668
2016/1/3,A74812,ABC1020,5498,77,423346
2016/1/3,A16178,ABC1021,8114,74,600436
2016/1/3,A62927,ABC1022,3560,24,85440
2016/1/3,A29487,ABC1023,3942,75,295650
2016/1/3,A49342,ABC1024,5097,42,214074
2016/1/3,A76445,ABC1025,7447,20,148940
2016/1/3,A30844,ABC1026,7067,64,452288
2016/1/3,A93847,ABC1027,4259,58,247022
2016/1/3,A31666,ABC1028,503,30,15090
2016/1/3,A28420,ABC1029,9875,19,187625
2016/1/3,A83642,ABC1030,9600,76,729600
2016/1/3,A76134,ABC1031,4605,39,179595
2016/1/3,A36312,ABC1032,4616,17,78472
2016/1/3,A41748,ABC1033,7086,12,85032
2016/1/3,A88250,ABC1034,650,9,5850
2016/1/3,A54334,ABC1035,84,68,5712
2016/1/3,A82074,ABC1036,5822,32,186304
2016/1/3,A43822,ABC1037,4356,99,431244
2016/1/3,A52665,ABC1038,7429,0,0
2016/1/3,A77524,ABC1039,1882,81,152442
2016/1/3,A42362,ABC1040,1311,96,125856
2016/1/3,A39151,ABC1041,8311,27,224397
2016/1/3,A9897,ABC1042,9811,63,618093
2016/1/3,A93538,ABC1043,5319,73,388287
2016/1/3,A86633,ABC1044,5758,35,201530
2016/1/3,A46492,ABC1045,1181,59,69679
2016/1/3,A11633,ABC1046,1484,53,78652
2016/1/3,A20865,ABC1047,5018,36,180648
2016/1/3,A84112,ABC1048,9870,59,582330
2016/1/3,A94484,ABC1049,4869,42,204498
2016/1/3,A88205,ABC1050,3467,59,204553
2016/1/3,A57943,ABC1051,1711,40,68440
2016/1/3,A82657,ABC1052,2010,38,76380
2016/1/3,A1251,ABC1053,1844,3,5532
2016/1/3,A18708,ABC1054,3284,42,137928
2016/1/3,A47311,ABC1055,8432,33,278256
2016/1/3,A78429,ABC1056,6360,81,515160
2016/1/3,A15771,ABC1057,2157,76,163932
2016/1/3,A95100,ABC1058,9178,44,403832
2016/1/3,A43056,ABC1059,5252,66,346632
2016/1/3,A94774,ABC1060,1982,89,176398
2016/1/3,A31706,ABC1061,7168,45,322560
2016/1/3,A86310,ABC1062,9682,25,242050
2016/1/3,A37599,ABC1063,7855,0,0
2016/1/3,A19814,ABC1064,5756,43,247508
2016/1/3,A89194,ABC1065,2994,67,200598
2016/1/3,A19839,ABC1066,8859,28,248052
2016/1/3,A98430,ABC1067,2526,51,128826
2016/1/3,A25715,ABC1068,3805,90,342450
2016/1/3,A44285,ABC1069,6895,55,379225
2016/1/3,A9594,ABC1070,8520,6,51120
2016/1/3,A47109,ABC1071,3113,67,208571
2016/1/3,A32512,ABC1072,8508,28,238224
2016/1/3,A51134,ABC1073,9599,25,239975
2016/1/3,A22484,ABC1074,1955,72,140760
2016/1/3,A93247,ABC1075,5848,28,163744
2016/1/3,A50986,ABC1076,6178,17,105026
2016/1/3,A40020,ABC1077,8816,76,670016
2016/1/3,A11689,ABC1078,3379,81,273699
2016/1/3,A69433,ABC1079,1839,87,159993
2016/1/3,A79976,ABC1080,8427,37,311799
2016/1/3,A28224,ABC1081,740,59,43660
2016/1/3,A85750,ABC1082,5131,24,123144
2016/1/3,A49494,ABC1083,5773,15,86595
2016/1/3,A27702,ABC1084,7780,97,754660
2016/1/3,A61813,ABC1085,5592,6,33552
2016/1/3,A68816,ABC1086,1514,9,13626
2016/1/3,A39090,ABC1087,9605,52,499460
2016/1/3,A42817,ABC1088,3398,56,190288
2016/1/3,A81666,ABC1089,8197,88,721336
2016/1/3,A13231,ABC1090,2742,72,197424
2016/1/3,A65939,ABC1091,193,8,1544
2016/1/3,A17306,ABC1092,2840,94,266960
2016/1/3,A51601,ABC1093,1196,43,51428
2016/1/3,A94253,ABC1094,486,47,22842
2016/1/3,A27141,ABC1095,3127,89,278303
2016/1/3,A43754,ABC1096,2631,18,47358
2016/1/3,A80649,ABC1097,3544,49,173656
2016/1/3,A51712,ABC1098,6576,32,210432
2016/1/3,A51150,ABC1099,5299,79,418621
2016/1/3,A132,ABC1100,1420,68,96560
2016/1/4,A46029,ABC1001,422,58,24476
2016/1/4,A70867,ABC1002,2519,26,65494
2016/1/4,A93065,ABC1003,5140,50,257000
2016/1/4,A4578,ABC1004,6253,51,318903
2016/1/4,A70659,ABC1005,4324,10,43240
2016/1/4,A23471,ABC1006,3979,92,366068
2016/1/4,A83909,ABC1007,9409,87,818583
2016/1/4,A4280,ABC1008,101,29,2929
2016/1/4,A32786,ABC1009,6284,25,157100
2016/1/4,A34005,ABC1010,30,94,2820
2016/1/4,A44571,ABC1011,5617,30,168510
2016/1/4,A57513,ABC1012,962,48,46176
2016/1/4,A62846,ABC1013,6065,75,454875
2016/1/4,A92243,ABC1014,5016,13,65208
2016/1/4,A92936,ABC1015,7608,59,448872
2016/1/4,A68804,ABC1016,9308,78,726024
2016/1/4,A64410,ABC1017,9215,14,129010
2016/1/4,A94345,ABC1018,8050,7,56350
2016/1/4,A74231,ABC1019,4452,25,111300
2016/1/4,A36617,ABC1020,5498,47,258406
2016/1/4,A22570,ABC1021,8114,9,73026
2016/1/4,A88532,ABC1022,3560,28,99680
2016/1/4,A43166,ABC1023,3942,23,90666
2016/1/4,A92250,ABC1024,5097,97,494409
2016/1/4,A24932,ABC1025,7447,96,714912
2016/1/4,A44386,ABC1026,7067,1,7067
2016/1/4,A71236,ABC1027,4259,4,17036
2016/1/4,A14676,ABC1028,503,25,12575
2016/1/4,A10043,ABC1029,9875,23,227125
2016/1/4,A19514,ABC1030,9600,61,585600
2016/1/4,A35553,ABC1031,4605,30,138150
2016/1/4,A12550,ABC1032,4616,59,272344
2016/1/4,A91209,ABC1033,7086,93,658998
2016/1/4,A79126,ABC1034,650,61,39650
2016/1/4,A8728,ABC1035,84,6,504
2016/1/4,A30300,ABC1036,5822,22,128084
2016/1/4,A25222,ABC1037,4356,46,200376
2016/1/4,A32301,ABC1038,7429,89,661181
2016/1/4,A94004,ABC1039,1882,27,50814
2016/1/4,A58593,ABC1040,1311,65,85215
2016/1/4,A67018,ABC1041,8311,88,731368
2016/1/4,A10680,ABC1042,9811,90,882990
2016/1/4,A47399,ABC1043,5319,41,218079
2016/1/4,A48232,ABC1044,5758,44,253352
2016/1/4,A65931,ABC1045,1181,42,49602
2016/1/4,A95455,ABC1046,1484,21,31164
2016/1/4,A62355,ABC1047,5018,37,185666
2016/1/4,A34303,ABC1048,9870,58,572460
2016/1/4,A85918,ABC1049,4869,85,413865
2016/1/4,A73110,ABC1050,3467,71,246157
2016/1/4,A31305,ABC1051,1711,86,147146
2016/1/4,A80608,ABC1052,2010,17,34170
2016/1/4,A90842,ABC1053,1844,19,35036
2016/1/4,A40468,ABC1054,3284,13,42692
2016/1/4,A81333,ABC1055,8432,7,59024
2016/1/4,A54026,ABC1056,6360,21,133560
2016/1/4,A27837,ABC1057,2157,19,40983
2016/1/4,A42425,ABC1058,9178,30,275340
2016/1/4,A5449,ABC1059,5252,46,241592
2016/1/4,A31383,ABC1060,1982,54,107028
2016/1/4,A34731,ABC1061,7168,30,215040
2016/1/4,A95001,ABC1062,9682,61,590602
2016/1/4,A49840,ABC1063,7855,85,667675
2016/1/4,A81417,ABC1064,5756,35,201460
2016/1/4,A84116,ABC1065,2994,86,257484
2016/1/4,A67337,ABC1066,8859,0,0
2016/1/4,A28085,ABC1067,2526,72,181872
2016/1/4,A29463,ABC1068,3805,7,26635
2016/1/4,A57555,ABC1069,6895,98,675710
2016/1/4,A19062,ABC1070,8520,1,8520
2016/1/4,A15323,ABC1071,3113,18,56034
2016/1/4,A92078,ABC1072,8508,63,536004
2016/1/4,A62622,ABC1073,9599,31,297569
2016/1/4,A66787,ABC1074,1955,91,177905
2016/1/4,A67390,ABC1075,5848,30,175440
2016/1/4,A9182,ABC1076,6178,86,531308
2016/1/4,A60998,ABC1077,8816,46,405536
2016/1/4,A93007,ABC1078,3379,62,209498
2016/1/4,A18522,ABC1079,1839,28,51492
2016/1/4,A85624,ABC1080,8427,36,303372
2016/1/4,A22596,ABC1081,740,22,16280
2016/1/4,A89459,ABC1082,5131,64,328384
2016/1/4,A3847,ABC1083,5773,8,46184
2016/1/4,A8596,ABC1084,7780,39,303420
2016/1/4,A79279,ABC1085,5592,54,301968
2016/1/4,A11325,ABC1086,1514,4,6056
2016/1/4,A31274,ABC1087,9605,90,864450
2016/1/4,A54521,ABC1088,3398,59,200482
2016/1/4,A40619,ABC1089,8197,32,262304
2016/1/4,A23019,ABC1090,2742,66,180972
2016/1/4,A80275,ABC1091,193,78,15054
2016/1/4,A2261,ABC1092,2840,54,153360
2016/1/4,A26607,ABC1093,1196,37,44252
2016/1/4,A92162,ABC1094,486,21,10206
2016/1/4,A91885,ABC1095,3127,32,100064
2016/1/4,A50804,ABC1096,2631,31,81561
2016/1/4,A50591,ABC1097,3544,71,251624
2016/1/4,A8212,ABC1098,6576,65,427440
2016/1/4,A56873,ABC1099,5299,25,132475
2016/1/4,A82456,ABC1100,1420,2,2840
2016/1/5,A70965,ABC1001,422,52,21944
2016/1/5,A42691,ABC1002,2519,41,103279
2016/1/5,A90222,ABC1003,5140,69,354660
2016/1/5,A6599,ABC1004,6253,9,56277
2016/1/5,A23561,ABC1005,4324,99,428076
2016/1/5,A5639,ABC1006,3979,59,234761
2016/1/5,A7022,ABC1007,9409,16,150544
2016/1/5,A5303,ABC1008,101,99,9999
2016/1/5,A66667,ABC1009,6284,23,144532
2016/1/5,A9558,ABC1010,30,18,540
2016/1/5,A36901,ABC1011,5617,85,477445
2016/1/5,A82717,ABC1012,962,87,83694
2016/1/5,A8839,ABC1013,6065,73,442745
2016/1/5,A12467,ABC1014,5016,31,155496
2016/1/5,A49833,ABC1015,7608,44,334752
2016/1/5,A21476,ABC1016,9308,4,37232
2016/1/5,A33366,ABC1017,9215,77,709555
2016/1/5,A876,ABC1018,8050,11,88550
2016/1/5,A43924,ABC1019,4452,39,173628
2016/1/5,A42723,ABC1020,5498,35,192430
2016/1/5,A60742,ABC1021,8114,62,503068
2016/1/5,A98398,ABC1022,3560,69,245640
2016/1/5,A62202,ABC1023,3942,23,90666
2016/1/5,A47715,ABC1024,5097,92,468924
2016/1/5,A84954,ABC1025,7447,10,74470
2016/1/5,A60292,ABC1026,7067,7,49469
2016/1/5,A47769,ABC1027,4259,92,391828
2016/1/5,A58524,ABC1028,503,44,22132
2016/1/5,A12449,ABC1029,9875,22,217250
2016/1/5,A60268,ABC1030,9600,40,384000
2016/1/5,A67521,ABC1031,4605,24,110520
2016/1/5,A61946,ABC1032,4616,56,258496
2016/1/5,A21353,ABC1033,7086,37,262182
2016/1/5,A538,ABC1034,650,54,35100
2016/1/5,A32211,ABC1035,84,54,4536
2016/1/5,A71903,ABC1036,5822,39,227058
2016/1/5,A50831,ABC1037,4356,78,339768
2016/1/5,A59610,ABC1038,7429,36,267444
2016/1/5,A54622,ABC1039,1882,26,48932
2016/1/5,A63019,ABC1040,1311,5,6555
2016/1/5,A17855,ABC1041,8311,20,166220
2016/1/5,A16513,ABC1042,9811,74,726014
2016/1/5,A22183,ABC1043,5319,78,414882
2016/1/5,A58376,ABC1044,5758,70,403060
2016/1/5,A87389,ABC1045,1181,15,17715
2016/1/5,A83417,ABC1046,1484,13,19292
2016/1/5,A31046,ABC1047,5018,10,50180
2016/1/5,A73606,ABC1048,9870,89,878430
2016/1/5,A97765,ABC1049,4869,57,277533
2016/1/5,A95653,ABC1050,3467,87,301629
2016/1/5,A65668,ABC1051,1711,72,123192
2016/1/5,A16674,ABC1052,2010,37,74370
2016/1/5,A92544,ABC1053,1844,76,140144
2016/1/5,A64606,ABC1054,3284,10,32840
2016/1/5,A35886,ABC1055,8432,91,767312
2016/1/5,A82292,ABC1056,6360,53,337080
2016/1/5,A98494,ABC1057,2157,64,138048
2016/1/5,A66710,ABC1058,9178,78,715884
2016/1/5,A61732,ABC1059,5252,63,330876
2016/1/5,A76837,ABC1060,1982,12,23784
2016/1/5,A63563,ABC1061,7168,93,666624
2016/1/5,A15801,ABC1062,9682,8,77456
2016/1/5,A31856,ABC1063,7855,93,730515
2016/1/5,A58854,ABC1064,5756,34,195704
2016/1/5,A61156,ABC1065,2994,40,119760
2016/1/5,A48448,ABC1066,8859,29,256911
2016/1/5,A29620,ABC1067,2526,70,176820
2016/1/5,A49985,ABC1068,3805,11,41855
2016/1/5,A28196,ABC1069,6895,99,682605
2016/1/5,A77401,ABC1070,8520,55,468600
2016/1/5,A83611,ABC1071,3113,65,202345
2016/1/5,A5409,ABC1072,8508,92,782736
2016/1/5,A91230,ABC1073,9599,95,911905
2016/1/5,A95203,ABC1074,1955,63,123165
2016/1/5,A58903,ABC1075,5848,22,128656
2016/1/5,A22506,ABC1076,6178,19,117382
2016/1/5,A88673,ABC1077,8816,82,722912
2016/1/5,A62343,ABC1078,3379,84,283836
2016/1/5,A57550,ABC1079,1839,83,152637
2016/1/5,A72135,ABC1080,8427,76,640452
2016/1/5,A52445,ABC1081,740,89,65860
2016/1/5,A3922,ABC1082,5131,20,102620
2016/1/5,A55033,ABC1083,5773,21,121233
2016/1/5,A22048,ABC1084,7780,65,505700
2016/1/5,A28299,ABC1085,5592,15,83880
2016/1/5,A10276,ABC1086,1514,92,139288
2016/1/5,A21325,ABC1087,9605,79,758795
2016/1/5,A18163,ABC1088,3398,70,237860
2016/1/5,A15041,ABC1089,8197,46,377062
2016/1/5,A82672,ABC1090,2742,91,249522
2016/1/5,A38220,ABC1091,193,18,3474
2016/1/5,A30301,ABC1092,2840,80,227200
2016/1/5,A90228,ABC1093,1196,42,50232
2016/1/5,A20582,ABC1094,486,33,16038
2016/1/5,A41851,ABC1095,3127,7,21889
2016/1/5,A32117,ABC1096,2631,57,149967
2016/1/5,A15773,ABC1097,3544,22,77968
2016/1/5,A79668,ABC1098,6576,53,348528
2016/1/5,A45550,ABC1099,5299,67,355033
2016/1/5,A96098,ABC1100,1420,75,106500
2016/1/6,A76591,ABC1001,422,45,18990
2016/1/6,A22105,ABC1002,2519,87,219153
2016/1/6,A79575,ABC1003,5140,62,318680
2016/1/6,A44814,ABC1004,6253,65,406445
2016/1/6,A52150,ABC1005,4324,80,345920
2016/1/6,A37570,ABC1006,3979,77,306383
2016/1/6,A50931,ABC1007,9409,71,668039
2016/1/6,A84202,ABC1008,101,53,5353
2016/1/6,A84710,ABC1009,6284,69,433596
2016/1/6,A68547,ABC1010,30,24,720
2016/1/6,A41089,ABC1011,5617,53,297701
2016/1/6,A5173,ABC1012,962,20,19240
2016/1/6,A55578,ABC1013,6065,55,333575
2016/1/6,A14282,ABC1014,5016,10,50160
2016/1/6,A85214,ABC1015,7608,26,197808
2016/1/6,A68216,ABC1016,9308,100,930800
2016/1/6,A17065,ABC1017,9215,14,129010
2016/1/6,A51252,ABC1018,8050,33,265650
2016/1/6,A33746,ABC1019,4452,34,151368
2016/1/6,A53811,ABC1020,5498,17,93466
2016/1/6,A36576,ABC1021,8114,19,154166
2016/1/6,A29438,ABC1022,3560,16,56960
2016/1/6,A96520,ABC1023,3942,22,86724
2016/1/6,A24171,ABC1024,5097,14,71358
2016/1/6,A75219,ABC1025,7447,11,81917
2016/1/6,A62243,ABC1026,7067,37,261479
2016/1/6,A11381,ABC1027,4259,97,413123
2016/1/6,A56483,ABC1028,503,100,50300
2016/1/6,A72350,ABC1029,9875,20,197500
2016/1/6,A79846,ABC1030,9600,97,931200
2016/1/6,A6783,ABC1031,4605,37,170385
2016/1/6,A92626,ABC1032,4616,11,50776
2016/1/6,A49565,ABC1033,7086,32,226752
2016/1/6,A2137,ABC1034,650,98,63700
2016/1/6,A31130,ABC1035,84,78,6552
2016/1/6,A87877,ABC1036,5822,63,366786
2016/1/6,A28930,ABC1037,4356,85,370260
2016/1/6,A16494,ABC1038,7429,25,185725
2016/1/6,A38303,ABC1039,1882,12,22584
2016/1/6,A87050,ABC1040,1311,18,23598
2016/1/6,A96281,ABC1041,8311,39,324129
2016/1/6,A49314,ABC1042,9811,45,441495
2016/1/6,A42124,ABC1043,5319,92,489348
2016/1/6,A41914,ABC1044,5758,49,282142
2016/1/6,A29629,ABC1045,1181,87,102747
2016/1/6,A66809,ABC1046,1484,82,121688
2016/1/6,A48375,ABC1047,5018,73,366314
2016/1/6,A36524,ABC1048,9870,74,730380
2016/1/6,A49279,ABC1049,4869,21,102249
2016/1/6,A47210,ABC1050,3467,84,291228
2016/1/6,A22576,ABC1051,1711,69,118059
2016/1/6,A29353,ABC1052,2010,34,68340
2016/1/6,A56529,ABC1053,1844,2,3688
2016/1/6,A55653,ABC1054,3284,53,174052
2016/1/6,A81181,ABC1055,8432,20,168640
2016/1/6,A27668,ABC1056,6360,5,31800
2016/1/6,A10342,ABC1057,2157,38,81966
2016/1/6,A79161,ABC1058,9178,64,587392
2016/1/6,A38485,ABC1059,5252,3,15756
2016/1/6,A78579,ABC1060,1982,88,174416
